DmoonGroup,Dmoon_m,StartDmoon_m,DmoonLowerBound_m,Dmoon_km,Dmoon_log2_m,Iteration,TransformID,TransformLabel
08/09/2025,322358186.057125,379992000,1519.07293145392,322358.186057125,28.2640893792666,26,2,absElevation
05/22/2024,10234196603.3998,395236000,1519.07293145392,10234196.6033998,33.2526788024041,27,2,absElevation
07/20/2024,297392217.250264,374538000,1519.07293145392,297392.217250263,28.1477916516763,27,2,absElevation
07/21/2024,492162246.889941,370233000,1519.07293145392,492162.246889941,28.8745587539254,27,2,absElevation
08/19/2024,268355970.806961,363196000,1519.07293145392,268355.970806961,27.9995727469221,27,2,absElevation
08/20/2024,29855207.2217536,360805000,1519.07293145392,29855.2072217536,24.8314792465498,27,2,absElevation
10/16/2024,1158018260.96762,357488000,1519.07293145392,1158018.26096762,30.1090108575722,27,2,absElevation
10/17/2024,360188548.999602,357252000,1519.07293145392,360188.548999602,28.4241770753678,27,2,absElevation
11/15/2024,221812566.615802,361929000,1519.07293145392,221812.566615802,27.7247658616622,27,2,absElevation
01/12/2025,74331063.7712206,379144000,1519.07293145392,74331.0637712206,26.1474619191602,27,2,absElevation
01/13/2025,4799556121.53164,381133000,1519.07293145392,4799556.12153164,32.1602538408875,27,2,absElevation
05/13/2025,101069068.282514,404420000,1519.07293145392,101069.068282514,26.5907662937941,27,2,absElevation
08/09/2025,187136945.18518,379992000,1519.07293145392,187136.94518518,27.47951916735,27,2,absElevation
05/22/2024,8693664755.03585,395236000,1519.07293145392,8693664.75503585,33.0173173174913,28,2,absElevation
07/21/2024,297787534.717859,370233000,1519.07293145392,297787.534717859,28.1497081235726,28,2,absElevation
08/20/2024,604182443.395548,360805000,1519.07293145392,604182.443395548,29.1704090212942,28,2,absElevation
10/16/2024,4481333724.92717,357488000,1519.07293145392,4481333.72492717,32.0612810219785,28,2,absElevation
10/17/2024,78443812.896196,357252000,1519.07293145392,78443.812896196,26.2251563261152,28,2,absElevation
11/15/2024,328387642.118801,361929000,1519.07293145392,328387.642118801,28.2908245957476,28,2,absElevation
01/12/2025,1601889.31243645,379144000,1519.07293145392,1601.88931243645,20.6113430329784,28,2,absElevation
01/13/2025,1668664132.89427,381133000,1519.07293145392,1668664.13289427,30.6360464536419,28,2,absElevation
08/07/2025,1512202304.9806,386624000,1519.07293145392,1512202.3049806,30.4940040126381,28,2,absElevation
08/09/2025,210807713.55724,379992000,1519.07293145392,210807.71355724,27.6513524159563,28,2,absElevation
05/22/2024,3542989938.75198,395236000,1519.07293145392,3542989.93875198,31.7223202225378,29,2,absElevation
07/20/2024,482386272.874404,374538000,1519.07293145392,482386.272874404,28.8456136125687,29,2,absElevation
08/19/2024,250320271.741757,363196000,1519.07293145392,250320.271741757,27.8991998889468,29,2,absElevation
08/20/2024,476719319.49103,360805000,1519.07293145392,476719.31949103,28.8285648522412,29,2,absElevation
10/16/2024,4498454675.99826,357488000,1519.07293145392,4498454.67599826,32.0667823411706,29,2,absElevation
10/17/2024,137726227.955778,357252000,1519.07293145392,137726.227955778,27.0372280850102,29,2,absElevation
11/15/2024,78318832.5213085,361929000,1519.07293145392,78318.8325213084,26.2228559234295,29,2,absElevation
01/12/2025,7823978.30739215,379144000,1519.07293145392,7823.97830739215,22.8994709396321,29,2,absElevation
01/13/2025,209241527.063981,381133000,1519.07293145392,209241.527063981,27.6405939631875,29,2,absElevation
05/13/2025,2409172321.35583,404420000,1519.07293145392,2409172.32135583,31.1658904431933,29,2,absElevation
08/07/2025,769663341.278767,386624000,1519.07293145392,769663.341278767,29.519652293119,29,2,absElevation
08/09/2025,234136166.788849,379992000,1519.07293145392,234136.166788849,27.80277256248,29,2,absElevation
05/22/2024,6596786235.33554,395236000,1519.07293145392,6596786.23533554,32.619116210042,30,2,absElevation
07/20/2024,44816320.8958965,374538000,1519.07293145392,44816.3208958965,25.4175208828254,30,2,absElevation
07/21/2024,429597066.88372,370233000,1519.07293145392,429597.06688372,28.6784089023134,30,2,absElevation
08/19/2024,428930007.361533,363196000,1519.07293145392,428930.007361533,28.6761670075912,30,2,absElevation
08/20/2024,7241039340.93711,360805000,1519.07293145392,7241039.34093711,32.7535496430625,30,2,absElevation
10/16/2024,2500909639.09402,357488000,1519.07293145392,2500909.63909402,31.2198057861209,30,2,absElevation
10/17/2024,1465492.81678011,357252000,1519.07293145392,1465.49281678011,20.482954465894,30,2,absElevation
11/15/2024,35481748.4381331,361929000,1519.07293145392,35481.7484381331,25.080573767449,30,2,absElevation
01/12/2025,1090858984.06662,379144000,1519.07293145392,1090858.98406662,30.0228174697295,30,2,absElevation
01/13/2025,126090391.233145,381133000,1519.07293145392,126090.391233145,26.9098830978223,30,2,absElevation
08/07/2025,1964625897.067,386624000,1519.07293145392,1964625.897067,30.8716074754629,30,2,absElevation
05/22/2024,1033003617.42374,395236000,1519.07293145392,1033003.61742374,29.9441981602997,31,2,absElevation
07/20/2024,2038933884.19315,374538000,1519.07293145392,2038933.88419315,30.925167848324,31,2,absElevation
07/21/2024,1148925508.97594,370233000,1519.07293145392,1148925.50897594,30.0976381173186,31,2,absElevation
08/19/2024,225070659.493062,363196000,1519.07293145392,225070.659493062,27.7458027565271,31,2,absElevation
10/16/2024,2228475181.69497,357488000,1519.07293145392,2228475.18169497,31.053409747876,31,2,absElevation
10/17/2024,1299503080.91789,357252000,1519.07293145392,1299503.08091789,30.275312908204,31,2,absElevation
11/15/2024,476633405.910264,361929000,1519.07293145392,476633.405910264,28.828304828655,31,2,absElevation
01/12/2025,571164.86288529,379144000,1519.07293145392,571.16486288529,19.1235477043284,31,2,absElevation
01/13/2025,46533417.653211,381133000,1519.07293145392,46533.417653211,25.4717638141322,31,2,absElevation
05/13/2025,1917238443.88637,404420000,1519.07293145392,1917238.44388637,30.8363826278312,31,2,absElevation
08/07/2025,691025076.397318,386624000,1519.07293145392,691025.076397318,29.3641628241808,31,2,absElevation
05/22/2024,2790258492.76266,395236000,1519.07293145392,2790258.49276266,31.3777516351633,32,2,absElevation
08/20/2024,577521349.548294,360805000,1519.07293145392,577521.349548294,29.1052990395118,32,2,absElevation
08/19/2024,182094303.151862,363196000,1519.07293145392,182094.303151862,27.4401105471845,32,2,absElevation
10/16/2024,766764984.004642,357488000,1519.07293145392,766764.984004642,29.5142092137936,32,2,absElevation
10/17/2024,474554684.900742,357252000,1519.07293145392,474554.684900742,28.8219991036463,32,2,absElevation
11/15/2024,47505368.2330671,361929000,1519.07293145392,47505.3682330671,25.5015872152471,32,2,absElevation
01/12/2025,721191.334661346,379144000,1519.07293145392,721.191334661346,19.4600225368807,32,2,absElevation
01/13/2025,3267580065.10259,381133000,1519.07293145392,3267580.06510259,31.6055754406149,32,2,absElevation
05/13/2025,884755429.278073,404420000,1519.07293145392,884755.429278073,29.7207034688362,32,2,absElevation
08/07/2025,1180838565.63415,386624000,1519.07293145392,1180838.56563415,30.1371645990106,32,2,absElevation
08/09/2025,1500921254.70694,379992000,1519.07293145392,1500921.25470694,30.4832011424546,32,2,absElevation
05/22/2024,1423078294.45156,395236000,1519.07293145392,1423078.29445156,30.4063678917535,33,2,absElevation
07/20/2024,312350543.350247,374538000,1519.07293145392,312350.543350247,28.2185907986486,33,2,absElevation
07/21/2024,2585298268.17868,370233000,1519.07293145392,2585298.26817868,31.2676835891488,33,2,absElevation
08/19/2024,260434054.939643,363196000,1519.07293145392,260434.054939643,27.9563428699687,33,2,absElevation
08/20/2024,1068380613.3185,360805000,1519.07293145392,1068380.6133185,29.992778556372,33,2,absElevation
10/16/2024,426807390.786186,357488000,1519.07293145392,426807.390786186,28.6690099178251,33,2,absElevation
10/17/2024,304916568.831603,357252000,1519.07293145392,304916.568831603,28.1838393060413,33,2,absElevation
11/15/2024,210166438.357858,361929000,1519.07293145392,210166.438357858,27.6469570616981,33,2,absElevation
01/12/2025,367715985.476734,379144000,1519.07293145392,367715.985476734,28.4540166543421,33,2,absElevation
01/13/2025,1044721565.72058,381133000,1519.07293145392,1044721.56572058,29.9604713472222,33,2,absElevation
05/13/2025,967028145.132429,404420000,1519.07293145392,967028.145132429,29.8489826387204,33,2,absElevation
08/07/2025,6476506.4043442,386624000,1519.07293145392,6476.5064043442,22.6267843651056,33,2,absElevation
08/09/2025,266818536.265306,379992000,1519.07293145392,266818.536265306,27.9912836551907,33,2,absElevation
05/22/2024,1158496557.99291,395236000,1519.07293145392,1158496.55799291,30.1096066118067,34,2,absElevation
07/20/2024,420956020.000642,374538000,1519.07293145392,420956.020000642,28.6490942725774,34,2,absElevation
07/21/2024,2546456587.91172,370233000,1519.07293145392,2546456.58791172,31.2458439763117,34,2,absElevation
08/19/2024,256525075.223696,363196000,1519.07293145392,256525.075223696,27.9345246146885,34,2,absElevation
08/20/2024,443284083.934122,360805000,1519.07293145392,443284.083934122,28.7236563227265,34,2,absElevation
10/16/2024,837430123.586952,357488000,1519.07293145392,837430.123586952,29.6413935739622,34,2,absElevation
10/17/2024,345692268.30753,357252000,1519.07293145392,345692.26830753,28.3649130959965,34,2,absElevation
11/15/2024,6299091.34835613,361929000,1519.07293145392,6299.09134835613,22.5867123024183,34,2,absElevation
01/12/2025,170323231.739384,379144000,1519.07293145392,170323.231739384,27.3436999881806,34,2,absElevation
01/13/2025,1700181349.46531,381133000,1519.07293145392,1700181.34946531,30.6630414933024,34,2,absElevation
05/13/2025,867987631.413766,404420000,1519.07293145392,867987.631413766,29.6930992439056,34,2,absElevation
08/07/2025,454963662.771514,386624000,1519.07293145392,454963.662771514,28.7611760832393,34,2,absElevation
08/09/2025,319736420.360998,379992000,1519.07293145392,319736.420360998,28.2523078462938,34,2,absElevation
05/22/2024,347908819.118876,395236000,1519.07293145392,347908.819118876,28.3741340093065,35,2,absElevation
07/20/2024,529936611.030591,374538000,1519.07293145392,529936.611030591,28.9812445594896,35,2,absElevation
07/21/2024,1386087853.5438,370233000,1519.07293145392,1386087.8535438,30.3683715558013,35,2,absElevation
08/19/2024,10695378751.1376,363196000,1519.07293145392,10695378.7511376,33.3162685218593,35,2,absElevation
08/20/2024,1104549964.89599,360805000,1519.07293145392,1104549.96489599,30.0408115352211,35,2,absElevation
10/16/2024,261873309.967229,357488000,1519.07293145392,261873.309967229,27.9642937873247,35,2,absElevation
10/17/2024,547300294.13329,357252000,1519.07293145392,547300.29413329,29.027757390986,35,2,absElevation
11/15/2024,2817373.47928628,361929000,1519.07293145392,2817.37347928628,21.4259193935976,35,2,absElevation
01/12/2025,308587990.855321,379144000,1519.07293145392,308587.990855321,28.2011066775513,35,2,absElevation
01/13/2025,647839318.178265,381133000,1519.07293145392,647839.318178265,29.2710607888551,35,2,absElevation
08/07/2025,449725886.570284,386624000,1519.07293145392,449725.886570284,28.7444706881396,35,2,absElevation
08/09/2025,596022593.350804,379992000,1519.07293145392,596022.593350804,29.1507917788759,35,2,absElevation
05/22/2024,2824792295.38806,395236000,1519.07293145392,2824792.29538806,31.3954976452557,36,2,absElevation
07/20/2024,382105899.812236,374538000,1519.07293145392,382105.899812236,28.5093972925445,36,2,absElevation
07/21/2024,393607025.670456,370233000,1519.07293145392,393607.025670456,28.5521807313245,36,2,absElevation
08/19/2024,106990479.536008,363196000,1519.07293145392,106990.479536008,26.6729071843489,36,2,absElevation
08/20/2024,222978349.687789,360805000,1519.07293145392,222978.349687789,27.7323283960857,36,2,absElevation
10/16/2024,736892381.382347,357488000,1519.07293145392,736892.381382347,29.4568786970313,36,2,absElevation
