ID Number,Gender,Age,Date,Moon Diameter (km),Moon Distance (km),Time,Round 1 Estimate Template Number,Round 1 Estimate Template Size (cm),Round 1 Estimate Distance (cm),Round 1 Final Moon,Round 1 Adjusted Template Size (cm),Round 1 Adjusted Distance (cm),Elevation (deg),Round 1 Caliper Aperture (cm),Round 1 Caliper Distance (cm),Round 2 Estimate Template Number,Round 2 Estimate Template Size (cm),Round 2 Estimate Distance (cm),Round 2 Final Moon,Round 2 Adjusted Template Size (cm),Round 2 Adjusted Distance (cm),Time,Elevation (deg) ,Round 2 Caliper Aperture (cm),Round 2 Caliper Distance (cm)
5005,Female,20,1/12/2025,3476,379144,4:55:00 PM,16,2.70,69.00,10,1.22,49.50,9.00,4.626,47.80,13,1.90,69.00,12,1.63,44.50,6:20:00 PM,24.00,6.213,43.10
5006,Female,20,1/12/2025,3476,379144,4:58:00 PM,11,1.44,77.50,9,0.98,56.50,10.00,6.611,55.00,10,1.22,78.50,10,1.22,54.00,5:51:00 PM,19.00,6.589,51.50
5007,Female,19,1/12/2025,3476,379144,,,,,,,,,6.743,50.30,11,1.44,91.00,10,1.22,65.00,6:49:00 PM,29.00,6.606,47.50
5008,Male,19,1/12/2025,3476,379144,5:01:00 PM,10,1.22,86.00,6,0.72,55.75,10.00,6.185,50.20,,,,,,,,,,
5009,Male,18,1/12/2025,3476,379144,5:04:00 PM,11,1.44,73.50,5,0.65,55.00,11.00,7.563,49.70,9,0.98,71.00,7,0.78,56.00,"6:12 p,m",22.00,7.691,48.20
5010,Female,20,1/12/2025,3476,379144,5:08:00 PM,11,1.44,72.50,5,0.65,46.50,11.00,6.398,39.30,10,1.22,72.00,6,0.72,45.75,6:22:00 PM,25.00,6.448,35.50
5011,Female,26,1/12/2025,3476,379144,5:09:00 PM,11,1.44,76.50,7,0.78,39.50,11.00,5.413,39.50,14,2.15,69.00,6,0.72,34.25,6:17:00 PM,23.00,5.116,33.10
5012,Female,20,1/12/2025,3476,379144,5:12:00 PM,12,1.63,83.00,7,0.78,50.50,12.00,6.875,46.80,12,1.63,86.25,9,0.98,52.00,6:15:00 PM,23.00,6.842,54.40
5013,Female,18,1/12/2025,3476,379144,5:16:00 PM,12,1.63,73.50,11,1.44,50.00,12.00,3.440,42.20,14,2.15,70.50,11,1.44,46.75,6:36:00 PM,27.00,6.932,43.10
5014,Female,18,1/12/2025,3476,379144,5:14:00 PM,12,1.63,80.00,6,0.72,38.50,12.00,6.854,37.10,11,1.44,76.75,7,0.78,46.50,6:38:00 PM,28.00,7.253,36.70
5015,Female,19,1/12/2025,3476,379144,5:18:00 PM,13,1.90,73.50,6,0.72,49.00,13.00,6.498,43.30,10,1.22,76.50,5,0.65,34.00,6:39:00 PM,28.00,6.698,38.50
5016,Female,19,1/12/2025,3476,379144,5:20:00 PM,13,1.90,74.50,9,0.98,54.00,13.00,5.780,36.60,16,2.70,72.50,9,0.98,50.00,6:42:00 PM,28.00,6.600,36.60
31453,GNC,21,1/12/2025,3476,379144,5:26:00 PM,14,2.15,80.00,7,0.78,45.25,14.00,6.170,42.20,10,1.22,76.00,5,0.65,34.00,6:45:00 PM,29.00,6.204,35.30
5018,Female,21,1/12/2025,3476,379144,5:29:00 PM,15,2.44,70.00,7,0.78,51.00,15.00,6.512,41.10,8,0.96,75.50,6,0.72,44.25,6:25:00 PM,25.00,6.552,35.00
5019,Female,18,1/12/2025,3476,379144,5:33:00 PM,16,2.70,74.50,6,0.72,46.00,16.00,7.079,44.90,4,0.52,72.00,6,0.72,48.00,6:28:00 PM,26.00,6.941,45.80
5020,Female,20,1/12/2025,3476,379144,5:35:00 PM,16,2.70,77.50,9,0.98,48.00,16.00,4.310,38.30,8,0.96,73.50,9,0.98,44.00,6:52:00 PM,30.00,4.391,37.70
5021,Female,19,1/12/2025,3476,379144,5:37:00 PM,17,3.30,79.25,11,1.44,50.50,17.00,5.932,40.10,9,0.98,74.50,9,0.98,44.25,6:53:00 PM,30.00,7.026,44.00
5022,Female,18,1/12/2025,3476,379144,5:38:00 PM,17,3.30,71.00,6,0.72,41.25,17.00,4.559,32.30,11,1.44,72.00,7,0.78,39.00,6:43:00 PM,28.00,3.554,19.10
5023,Male,,1/13/2025,3476,381133,5:36:00 PM,17,3.30,60.50,9,0.98,47.50,5.00,6.781,49.70,14,2.15,53.50,10,1.22,49.50,7:06:00 PM,21.00,6.794,49.30
32329,Female,,1/13/2025,3476,381133,5:40:00 PM,14,2.15,55.50,9,0.98,47.50,5.00,6.562,46.50,11,1.44,51.50,8,0.96,45.50,6:58:00 PM,19.00,6.574,42.30
5025,Male,,1/13/2025,3476,381133,5:43:00 PM,12,1.63,63.00,5,0.65,28.50,6.00,7.103,54.60,10,1.22,58.50,5,0.65,26.50,6:51:00 PM,18.00,7.036,44.60
5026,Female,18,1/13/2025,3476,381133,5:46:00 PM,13,1.90,50.50,7,0.78,49.00,6.00,5.976,45.70,12,1.63,48.50,7,0.78,45.50,6:53:00 PM,18.00,5.833,44.90
5027,Female,,1/13/2025,3476,381133,5:49:00 PM,18,3.80,58.00,13,1.90,55.00,7.00,4.571,49.10,16,2.70,54.30,10,1.22,52.00,7:03:00 PM,20.00,4.549,45.50
