"ID","Session","Task","Altitude","Disparity_VA","Reported_Visual_Angle","Real_Visual_Angle","Ratio_Visual_Angle","Distance","Date"
"1056","Higher","Adjusted",37,11.5688335302831,1.05773819557891,0.5423,1.95046689208723,181518.8318,"Oct 17"
"1057","Lower","Perceptual",11,NA,2.06242533977591,0.5423,3.80310776281745,181518.8318,"Oct 17"
"1057","Lower","Adjusted",11,NA,1.65000440797782,0.5423,3.04260447718573,181518.8318,"Oct 17"
"1057","Higher","Perceptual",32,5.1313794647399,1.29978880408272,0.5423,2.39680767855932,181518.8318,"Oct 17"
"1057","Higher","Adjusted",32,5.1313794647399,1.45618934029784,0.5423,2.6852099212573,181518.8318,"Oct 17"
"1058","Lower","Perceptual",13,NA,1.94570739228996,0.5423,3.58788012592653,181518.8318,"Oct 17"
"1058","Lower","Adjusted",13,NA,NA,0.5423,NA,181518.8318,"Oct 17"
"1058","Higher","Perceptual",34,4.98907247121793,1.41372023374187,0.5423,2.60689698274363,181518.8318,"Oct 17"
"1058","Higher","Adjusted",34,4.98907247121793,1.39243648404093,0.5423,2.56764979539172,181518.8318,"Oct 17"
"1059","Lower","Perceptual",11,NA,2.0556868359813,0.5423,3.79068197673115,181518.8318,"Oct 17"
"1059","Lower","Adjusted",11,NA,2.03458955947317,0.5423,3.75177864553415,181518.8318,"Oct 17"
"1059","Higher","Perceptual",36,7.98272013277402,1.90968250774438,0.5423,3.52145031854025,181518.8318,"Oct 17"
"1059","Higher","Adjusted",36,7.98272013277402,2.34079223494594,0.5423,4.31641570154147,181518.8318,"Oct 17"
"1060","Lower","Perceptual",12,NA,1.39186291432886,0.5423,2.56659213411186,181518.8318,"Oct 17"
"1060","Lower","Adjusted",12,NA,2.26766188131707,0.5423,4.18156349127249,181518.8318,"Oct 17"
"1060","Higher","Perceptual",34,3.96418456646182,1.27058902397887,0.5423,2.34296334866102,181518.8318,"Oct 17"
"1060","Higher","Adjusted",34,3.96418456646182,1.85390391059879,0.5423,3.41859470883051,181518.8318,"Oct 17"
"1061","Lower","Perceptual",12,NA,1.96884429884139,0.5423,3.63054453041009,181518.8318,"Oct 17"
"1061","Lower","Adjusted",12,NA,NA,0.5423,NA,181518.8318,"Oct 17"
"1061","Higher","Perceptual",29,6.6769410875287,1.62075936214186,0.5423,2.98867667737758,181518.8318,"Oct 17"
"1061","Higher","Adjusted",29,6.6769410875287,1.43378878374245,0.5423,2.64390334453707,181518.8318,"Oct 17"
"1062","Lower","Perceptual",14,NA,1.88053232451094,0.5423,3.46769744516124,181518.8318,"Oct 17"
"1062","Lower","Adjusted",14,NA,1.81316564646404,0.5423,3.34347343991155,181518.8318,"Oct 17"
"1062","Higher","Perceptual",36,7.94655238344554,1.60080734471083,0.5423,2.95188520138453,181518.8318,"Oct 17"
"1062","Higher","Adjusted",36,7.94655238344554,2.32970733407123,0.5423,4.29597516885714,181518.8318,"Oct 17"
"1063","Lower","Perceptual",14,NA,1.38670913421823,0.5423,2.55708857499212,181518.8318,"Oct 17"
"1063","Lower","Adjusted",14,NA,1.2340152393139,0.5423,2.27552137066918,181518.8318,"Oct 17"
"1063","Higher","Perceptual",39,8.92905811050983,0.726115012019391,0.5423,1.33895447541839,181518.8318,"Oct 17"
"1063","Higher","Adjusted",39,8.92905811050983,0.994022325996856,0.5423,1.83297496956824,181518.8318,"Oct 17"
"1064","Lower","Perceptual",16,NA,1.25846941569747,0.5423,2.32061481780836,181518.8318,"Oct 17"
"1064","Lower","Adjusted",16,NA,2.12230550286034,0.5423,3.91352665104248,181518.8318,"Oct 17"
"1064","Higher","Perceptual",45,4.65553863263254,1.81140684305761,0.5423,3.34023021032198,181518.8318,"Oct 17"
"1064","Higher","Adjusted",45,4.65553863263254,1.35805859623531,0.5423,2.50425704634945,181518.8318,"Oct 17"
"1065","Lower","Perceptual",15,NA,1.25353550755739,0.5423,2.31151670211579,181518.8318,"Oct 17"
"1065","Lower","Adjusted",15,NA,0.887142732868295,0.5423,1.63588923634205,181518.8318,"Oct 17"
"1065","Higher","Perceptual",35,8.15337467144381,0.76927443419462,0.5423,1.41854035440645,181518.8318,"Oct 17"
"1065","Higher","Adjusted",35,8.15337467144381,0.927012614242197,0.5423,1.70940920937156,181518.8318,"Oct 17"
"1066","Lower","Perceptual",16,NA,1.85151703285572,0.5423,3.41419331155398,181518.8318,"Oct 17"
"1066","Lower","Adjusted",16,NA,0.850560899949325,0.5423,1.56843241738765,181518.8318,"Oct 17"
"1066","Higher","Perceptual",38,3.16900014620634,1.0410555531599,0.5423,1.91970413638189,181518.8318,"Oct 17"
"1066","Higher","Adjusted",38,3.16900014620634,1.18283859777584,0.5423,2.18115175691653,181518.8318,"Oct 17"
"1067","Lower","Perceptual",16,NA,1.36071080534582,0.5423,2.50914771408044,181518.8318,"Oct 17"
"1067","Lower","Adjusted",16,NA,0.943673859023845,0.5423,1.74013250788096,181518.8318,"Oct 17"
"1067","Higher","Perceptual",40,5.97646489501834,0.982189309936894,0.5423,1.81115491413774,181518.8318,"Oct 17"
"1067","Higher","Adjusted",40,5.97646489501834,1.05773819557891,0.5423,1.95046689208723,181518.8318,"Oct 17"
"1068","Lower","Perceptual",17,NA,1.51188422710866,0.5423,2.78791116929497,181518.8318,"Oct 17"
"1068","Lower","Adjusted",17,NA,1.29074687877535,0.5423,2.38013438830047,181518.8318,"Oct 17"
"1068","Higher","Perceptual",40,5.20390992599732,1.35225997249456,0.5423,2.4935643970027,181518.8318,"Oct 17"
"1068","Higher","Adjusted",40,5.20390992599732,1.11723229910403,0.5423,2.06017388733917,181518.8318,"Oct 17"
"1069","Lower","Perceptual",17,NA,1.01168297412184,0.5423,1.86554116563128,181518.8318,"Oct 17"
"1069","Lower","Adjusted",17,NA,1.60417702561128,0.5423,2.95809888550853,181518.8318,"Oct 17"
"1069","Higher","Perceptual",37,7.9104464653115,0.588805200400641,0.5423,1.0857554866322,181518.8318,"Oct 17"
"1069","Higher","Adjusted",37,7.9104464653115,1.43231989094082,0.5423,2.64119470946122,181518.8318,"Oct 17"
"52","Lower","Perceptual",18,NA,1.43672656793162,0.5423,2.64932061208118,181518.8318,"Oct 17"
"52","Lower","Adjusted",18,NA,1.89651469673571,0.5423,3.49716890417797,181518.8318,"Oct 17"
"52","Higher","Perceptual",38,3.77238492100836,0.862957155563023,0.5423,1.59129108530891,181518.8318,"Oct 17"
"52","Higher","Adjusted",38,3.77238492100836,1.64461297834099,0.5423,3.03266269286556,181518.8318,"Oct 17"
"1071","Lower","Perceptual",18,NA,1.67019935894835,0.5423,3.07984392208805,181518.8318,"Oct 17"
"1071","Lower","Adjusted",18,NA,1.38542237595033,0.5423,2.55471579559346,181518.8318,"Oct 17"
"1071","Higher","Perceptual",41,6.94498606531974,0.976377820990968,0.5423,1.8004385413811,181518.8318,"Oct 17"
"1071","Higher","Adjusted",41,6.94498606531974,1.53619040748023,0.5423,2.8327317121155,181518.8318,"Oct 17"
"1072","Lower","Perceptual",19,NA,1.82970969742114,0.5423,3.37398063326782,181518.8318,"Oct 17"
"1072","Lower","Adjusted",19,NA,2.24547676974762,0.5423,4.14065419462958,181518.8318,"Oct 17"
"1072","Higher","Perceptual",39,9.44593079557951,0.709719290720392,0.5423,1.30872080162344,181518.8318,"Oct 17"
"1072","Higher","Adjusted",39,9.44593079557951,1.41938413728693,0.5423,2.61734120834765,181518.8318,"Oct 17"
"1073","Lower","Perceptual",20,NA,1.83253704985183,0.5423,3.37919426489366,181518.8318,"Oct 17"
"1073","Lower","Adjusted",20,NA,1.79952718370388,0.5423,3.31832414476098,181518.8318,"Oct 17"
"1073","Higher","Perceptual",35,7.25706431087284,0.957523618089764,0.5423,1.7656714329518,181518.8318,"Oct 17"
"1073","Higher","Adjusted",35,7.25706431087284,1.84871180473904,0.5423,3.40902047711421,181518.8318,"Oct 17"
"1074","Lower","Perceptual",20,NA,2.01923238978901,0.5423,3.72346005861886,181518.8318,"Oct 17"
"1074","Lower","Adjusted",20,NA,1.63691092337723,0.5423,3.01846012055547,181518.8318,"Oct 17"
"1074","Higher","Perceptual",44,6.20905181852869,0.674568932661517,0.5423,1.2439036191435,181518.8318,"Oct 17"
"1074","Higher","Adjusted",44,6.20905181852869,1.55661976567434,0.5423,2.8704034034194,181518.8318,"Oct 17"
"1075","Lower","Perceptual",21,NA,0.580205467256331,0.5423,1.06989759774356,181518.8318,"Oct 17"
"1075","Lower","Adjusted",21,NA,0.938859412489223,0.5423,1.73125467912451,181518.8318,"Oct 17"
"1075","Higher","Perceptual",46,7.00086680663405,0.584187200727894,0.5423,1.07723990545435,181518.8318,"Oct 17"
"1075","Higher","Adjusted",46,7.00086680663405,0.982189309936894,0.5423,1.81115491413774,181518.8318,"Oct 17"
"1076","Lower","Perceptual",21,NA,1.08603835085711,0.5423,2.00265231579773,181518.8318,"Oct 17"
"1076","Lower","Adjusted",21,NA,0.999766757932525,0.5423,1.84356768934635,181518.8318,"Oct 17"
"1076","Higher","Perceptual",44,6.97930041019909,NA,0.5423,NA,181518.8318,"Oct 17"
"1076","Higher","Adjusted",44,6.97930041019909,NA,0.5423,NA,181518.8318,"Oct 17"
"1077","Lower","Perceptual",21,NA,1.90578591584785,0.5423,3.51426501170541,181518.8318,"Oct 17"
"1077","Lower","Adjusted",21,NA,NA,0.5423,NA,181518.8318,"Oct 17"
"1077","Higher","Perceptual",43,4.08908505216482,0.919728289724227,0.5423,1.69597693107916,181518.8318,"Oct 17"
"1077","Higher","Adjusted",43,4.08908505216482,1.33684087120779,0.5423,2.46513160834923,181518.8318,"Oct 17"
"1078","Lower","Perceptual",22,NA,0.739902101826902,0.5423,1.3643778385154,181518.8318,"Oct 17"
